Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|
1|A cyclist rides at 18km/h for 2 hours, then at 15km/h for a further 3 hours. What is the total distance she travels?|(18 × 2) + (15 × 3)|(18 + 15) × (2 + 3)|(18 × 2) × (15 × 3)|(18 × 2) − (15 × 3)|A|Add the distance covered in each stage: (18 × 2) for the first part plus (15 × 3) for the second part.|
2|A delivery driver drives at 45km/h for 3 hours, then at 25km/h for a further 2 hours. What is her average speed for the whole journey (in km/h)?|[(45 × 3) + (25 × 2)] ÷ (3 + 2)|(45 + 25) ÷ (3 + 2)|[(45 × 3) + (25 × 2)] ÷ 3|[(45 × 3) + (25 × 2)] × (3 + 2)|A|Average speed = total distance ÷ total time — add the two distances, then divide by the total time of 3 + 2 hours.|
3|A van drives 80km at 40km/h, then drives a further 45km at 30km/h. What is the van's average speed for the whole journey (in km/h)?|(80 + 45) ÷ (80/40 + 45/30)|(80 + 45) ÷ (40 + 30)|(80/40 + 45/30) ÷ (80 + 45)|(80 + 45) × (80/40 + 45/30)|A|Average speed = total distance ÷ total time — first find the time for each leg (80/40 and 45/30), then divide the total distance by their sum.|
4|A hiker walks 15km at a speed of 5km/h, then rests for 30 minutes, then walks a further 8km at 4km/h. What is her average speed for the entire trip, including the rest (in km/h)?|(15 + 8) ÷ (15/5 + 30/60 + 8/4)|(15 + 8) ÷ (15/5 + 8/4)|(15 + 8) ÷ (5 + 30/60 + 4)|(15 + 8) × (15/5 + 30/60 + 8/4)|A|Average speed = total distance ÷ total time, and the total time must include the rest — add the walking time for each leg (15/5 and 8/4) plus the rest time (30/60 hours), then divide the total distance by this sum.|
5|Two friends start 175km apart and cycle towards each other. One cycles at 30km/h and the other at 40km/h. How long will it take them to meet?|175 ÷ (30 + 40)|175 ÷ (40 − 30)|175 × (30 + 40)|(30 + 40) ÷ 175|A|When two objects travel towards each other, they close the gap at the sum of their speeds — divide the distance between them by the sum of the speeds: 175 ÷ (30 + 40).|
6|A car is 12km behind a van, and both are travelling in the same direction along the same road. The van travels at 50km/h and the car travels at 65km/h. How long will it take the car to catch up with the van?|12 ÷ (65 − 50)|12 ÷ (65 + 50)|12 × (65 − 50)|(65 − 50) ÷ 12|A|When one object chases another in the same direction, it closes the gap at the difference of their speeds — divide the distance behind by the difference of the speeds: 12 ÷ (65 − 50).|
7|A train departs at 09:20 and arrives at 12:05, covering a distance of 220km. What is its average speed (in km/h)? (Hint: first find the journey time in hours)|220 ÷ (2 + 45/60)|220 ÷ (2 + 45/100)|220 × (2 + 45/60)|220 ÷ (3 + 45/60)|A|The journey from 09:20 to 12:05 takes 2 hours 45 minutes, written as 2 + 45/60 hours — divide the distance by this time: 220 ÷ (2 + 45/60).|
8|A motorbike travels a distance of 126km in a time of x hours, at a speed of 36km/h. Which equation would you use to find x?|36 × x = 126|x ÷ 36 = 126|126 × x = 36|36 ÷ x = 126|A|Distance = speed × time, so speed × x equals the distance — set up the equation: 36 × x = 126.|
9|It takes Alex 45 minutes to get to her office by bus. The distance between her office and her house is 12km. If she drives the same distance, she reaches the office 9 minutes earlier. What is the difference between the average speed of the car and the bus?|[12 ÷ (36/60)] − [12 ÷ (45/60)]|[12 ÷ (45/60)] − [12 ÷ (36/60)]|12 ÷ [(45/60) − (36/60)]|[12 ÷ (36/60)] + [12 ÷ (45/60)]|A|The car takes 45 − 9 = 36 minutes, so find each speed separately (distance ÷ time in hours), then subtract the bus's speed from the car's speed: [12 ÷ (36/60)] − [12 ÷ (45/60)].|
10|A runner runs at 12km/h for 1 hour, then at 10km/h for a further 2 hours. What is the total distance she travels?|(12 × 1) + (10 × 2)|(12 + 10) × (1 + 2)|(12 × 1) × (10 × 2)|(12 × 1) − (10 × 2)|A|Add the distance covered in each stage: (12 × 1) for the first part plus (10 × 2) for the second part.|
11|A lorry travels at 60km/h for 4 hours, then at 50km/h for a further 1 hour. What is the total distance it travels?|(60 × 4) + (50 × 1)|(60 + 50) × (4 + 1)|(60 × 4) × (50 × 1)|(60 × 4) − (50 × 1)|A|Add the distance covered in each stage: (60 × 4) for the first part plus (50 × 1) for the second part.|
