Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|Feedback-A|Feedback-B|Feedback-C|Feedback-D|
39|The alarm's siren was so **shrill** that it woke the whole street.|muffled|deafening|piercing|faint|C|"Shrill" describes a sound that is very high-pitched and sharp, just like "piercing".|Quiet and unclear, difficult to hear|Extremely loud, hard to bear|Sharp and high-pitched|Not loud, hard to detect|
40|He shook his head **sorrowfully** as he read the letter.|cheerfully|dejectedly|indifferently|curiously|B|"Sorrowfully" means feeling very sad, just like "dejectedly".|In a happy, positive way|Feeling sad and downhearted|Without interest or concern|With interest to know more|
41|She denied the rumour **emphatically** in front of everyone.|assertively|hesitantly|playfully|absentmindedly|A|"Emphatically" means saying something in a strong, forceful way, just like "assertively".|In a confident, forceful way|With uncertainty or reluctance|In a lighthearted, fun way|Without paying attention, forgetfully|
42|He **begrudgingly** agreed to share his lunch with his younger brother.|eagerly|reluctantly|cheerfully|enthusiastically|B|"Begrudgingly" means doing something without really wanting to, just like "reluctantly".|With great enthusiasm|Unwillingly, without wanting to|In a happy, positive way|With great excitement and interest|
43|The villagers continued to **lament** the destruction of their ancient temple.|dismiss|mourn|ignore|forget|B|To "lament" means to feel very sad about something, just like to "mourn" it.|To refuse to consider something|To feel deep sorrow for a loss|To pay no attention to something|To fail to remember|
44|The chess champion proved a **formidable** opponent for anyone who dared challenge her.|feeble|powerful|ordinary|forgettable|B|"Formidable" describes someone very strong and impressive, like being "powerful".|Weak, lacking strength|Having great strength or influence|Not special or unusual|Not memorable or impressive|
45|His careless remark **provoked** a heated argument at the dinner table.|suppressed|instigated|concluded|avoided|B|"Provoked" means to have started something happening, just like "instigated".|Held back or restrained|Brought about or started|Brought to an end|Kept away from something|
46|The coach warned the players not to **retaliate** after being fouled.|forgive|ignore|respond|apologise|C|To "retaliate" means to react to something someone did to you, just like to "respond".|To stop feeling angry about something|To pay no attention to something|To react to something someone did to you|To say sorry for something|
47|The new law aimed to **emancipate** workers from unfair contracts.|imprison|free|punish|silence|B|"Emancipate" means to let someone go, just like to set them "free".|To confine or put in prison|To release from restriction|To make someone suffer for wrongdoing|To stop someone from speaking|
48|Years of practice had **conditioned** him to react instantly to danger.|ignored|trained|punished|confused|B|Being "conditioned" means being taught to do something automatically, just like being "trained".|Paid no attention to|Taught a skill through repeated practice|Made to suffer for wrongdoing|Made to feel puzzled|
49|We followed the **meandering** path through the old forest.|straight|winding|narrow|shallow|B|"Meandering" describes a path that twists and turns a lot, just like "winding".|Not curved or bent|Twisting and turning|Not wide|Not deep|
50|Many scientists remained **sceptical** of the surprising new theory.|convinced|doubtful|trusting|certain|B|"Sceptical" means not being sure if something is true, just like feeling "doubtful".|Firmly believing something is true|Unsure whether something is true|Willing to believe in someone or something|Completely sure about something|
51|The old bridge was built to **withstand** even the strongest storms.|surrender|endure|collapse|avoid|B|To "withstand" means to keep going without being harmed by something, just like to "endure" it.|To give up or stop resisting|To bear something difficult without giving in|To fall down or fail suddenly|To keep away from something|
