Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|
1|Use 14 × 3 = 42 to find 14 × 6.|84|42|168|90|A|6 is double 3, so the answer is double 42: 42 × 2 = 84.|
2|Use 17 × 4 = 68 to find 17 × 8.|68|136|272|144|B|8 is double 4, so the answer is double 68: 68 × 2 = 136.|
3|Use 19 × 3 = 57 to find 19 × 6.|57|228|114|120|C|6 is double 3, so the answer is double 57: 57 × 2 = 114.|
4|Use 16 × 3 = 48 to find 16 × 6.|48|192|90|96|D|6 is double 3, so the answer is double 48: 48 × 2 = 96.|
5|Use 6 × 8 = 48 to find 6 × 16.|96|48|192|86|A|16 is double 8, so the answer is double 48: 48 × 2 = 96.|
6|Use 8 × 9 = 72 to find 16 × 9.|72|144|288|140|B|16 is double 8, so the answer is double 72: 72 × 2 = 144.|
7|Use 9 × 7 = 63 to find 18 × 7.|63|252|126|120|C|18 is double 9, so the answer is double 63: 63 × 2 = 126.|
8|Use 7 × 12 = 84 to find 14 × 12.|84|336|160|168|D|14 is double 7, so the answer is double 84: 84 × 2 = 168.|
9|Use 24 × 13 = 312 to find 12 × 13.|156|312|78|150|A|12 is half of 24, so the answer is half of 312: 312 ÷ 2 = 156.|
10|Use 18 × 14 = 252 to find 9 × 14.|252|126|63|130|B|9 is half of 18, so the answer is half of 252: 252 ÷ 2 = 126.|
11|Use 16 × 15 = 240 to find 8 × 15.|240|60|120|110|C|8 is half of 16, so the answer is half of 240: 240 ÷ 2 = 120.|
12|Use 22 × 13 = 286 to find 11 × 13.|286|71.5|150|143|D|11 is half of 22, so the answer is half of 286: 286 ÷ 2 = 143.|
13|Use 26 × 14 = 364 to find 13 × 14.|182|364|91|190|A|13 is half of 26, so the answer is half of 364: 364 ÷ 2 = 182.|
14|Use 30 × 16 = 480 to find 15 × 16.|480|240|120|250|B|15 is half of 30, so the answer is half of 480: 480 ÷ 2 = 240.|
15|Use 34 × 12 = 408 to find 17 × 12.|408|102|204|210|C|17 is half of 34, so the answer is half of 408: 408 ÷ 2 = 204.|
16|Use 9 × 4 = 36 to find 4.5 × 4.|36|9|22|18|D|4.5 is half of 9, so the answer is half of 36: 36 ÷ 2 = 18.|
17|Use 7 × 6 = 42 to find 3.5 × 6.|21|42|10.5|25|A|3.5 is half of 7, so the answer is half of 42: 42 ÷ 2 = 21.|
18|Use 15 × 2 = 30 to find 7.5 × 2.|30|15|7.5|17|B|7.5 is half of 15, so the answer is half of 30: 30 ÷ 2 = 15.|
19|Use 5 × 9 = 45 to find 2.5 × 9.|45|11.25|22.5|25|C|2.5 is half of 5, so the answer is half of 45: 45 ÷ 2 = 22.5.|
20|Use 13 × 4 = 52 to find 6.5 × 4.|52|13|30|26|D|6.5 is half of 13, so the answer is half of 52: 52 ÷ 2 = 26.|
21|Use 11 × 6 = 66 to find 5.5 × 6.|33|66|16.5|37|A|5.5 is half of 11, so the answer is half of 66: 66 ÷ 2 = 33.|
22|Use 17 × 2 = 34 to find 8.5 × 2.|34|17|8.5|19|B|8.5 is half of 17, so the answer is half of 34: 34 ÷ 2 = 17.|
23|Use 19 × 4 = 76 to find 9.5 × 4.|76|19|38|42|C|9.5 is half of 19, so the answer is half of 76: 76 ÷ 2 = 38.|
24|Use 84 ÷ 4 = 21 to find 84 ÷ 8.|21|42|11|10.5|D|8 is double 4, so dividing by 8 gives half the answer: 21 ÷ 2 = 10.5.|
25|Use 36 ÷ 4 = 9 to find 36 ÷ 8.|4.5|9|18|5|A|8 is double 4, so the answer is half of 9: 9 ÷ 2 = 4.5.|
26|Use 44 ÷ 4 = 11 to find 44 ÷ 8.|11|5.5|22|6|B|8 is double 4, so the answer is half of 11: 11 ÷ 2 = 5.5.|
27|Use 28 ÷ 4 = 7 to find 28 ÷ 8.|7|14|3.5|4|C|8 is double 4, so the answer is half of 7: 7 ÷ 2 = 3.5.|
28|Use 52 ÷ 4 = 13 to find 52 ÷ 8.|13|26|7|6.5|D|8 is double 4, so the answer is half of 13: 13 ÷ 2 = 6.5.|
29|Use 68 ÷ 4 = 17 to find 68 ÷ 8.|8.5|17|34|9|A|8 is double 4, so the answer is half of 17: 17 ÷ 2 = 8.5.|
