Question Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|Feedback-A|Feedback-B|Feedback-C|Feedback-D|
54|She remained remarkably **placid** while chaos reigned around her.|safe|composed|undeterred|unharmed|B|"Placid" means calm and not easily upset, so it matches "composed".|Free from danger|Calm and in control of emotions|Not discouraged from continuing|Not injured or damaged|
55|The size of the campus could be **intimidating** to new students.|confusing|encapsulating|strange|frightening|D|"Intimidating" means something that makes you feel scared, like "frightening".|Difficult to understand|Expressing the essential facts concisely|Unusual or unfamiliar|Causing fear|
56|Hazel was **overjoyed** when she found her old hat, which she had lost.|rapturous|blithe|nonchalant|excited|A|"Overjoyed" means extremely happy, so it matches "rapturous".|Full of intense joy or delight|Carefree and lighthearted, without much thought|Calm and unconcerned|Feeling enthusiastic and eager|
57|When John lost his wallet, he was **forced** to borrow his taxi fare from Brian.|affected|necessitated|obliged|requirement|C|If you are "forced" to do something, you have no choice — you are "obliged" to do it.|Influenced or changed by something|Made necessary|Required to do something, with no choice|Something that is needed|
58|We have studied our verbs **diligently**.|fully|busily|assiduously|careful|C|"Diligently" means working hard and carefully, which is what "assiduously" means.|Completely|In a busy, active way|With great care and effort|Attentive to avoid mistakes|
16|We were **flabbergasted** to hear that she was leaving college.|unruffled|stupefied|passionate|indifferent|B|"Flabbergasted" means extremely surprised, so it matches "stupefied".|Calm, not upset or bothered|Astonished almost to the point of shock|Showing strong emotion|Showing no interest or concern|
17|"Why do you always have to **contradict** me on every decision?" Pamela asked.|counter|test|acknowledge|fail|A|To "contradict" means to say the opposite of what someone said, which is to "counter" it.|To argue against, oppose|To check or examine something|To accept or admit something is true|To be unsuccessful at something|
18|The smell of burnt bread has **permeated** the entire house.|resolved|closed|bound|pervaded|D|"Permeated" means spread all through something, which is what "pervaded" means.|Settled or found a solution to|Shut, or brought to an end|Tied together, or obligated|Spread through every part of something|
19|iPods have now become quite **obsolete**.|recent|respected|outmoded|remodelled|C|"Obsolete" means old and no longer used, so it matches "outmoded".|Happened not long ago|Admired or held in high regard|No longer useful or fashionable|Changed in structure or style|
20|Trekking in the Himalayas involves a lot of **risk**.|shield|peril|rebel|courage|B|"Risk" means being in danger, which is what "peril" means.|Something that protects|Serious danger|Someone who resists authority|The ability to face fear or danger|
21|In the aftermath of the floods, the riverbanks were littered with **refuse**.|debris|conflict|revenge|dumpster|A|"Refuse" means rubbish, or things thrown away, like "debris".|Scattered fragments of rubbish|A serious disagreement|Harm done in return for a wrong|A large container for rubbish|
22|I suggest you take the headteacher's **advice** into account.|expectation|counsel|recommend|favour|B|"Advice" means helpful suggestions, which is the same as "counsel".|A belief about what will happen|Helpful guidance or suggestions|To suggest something is good|An act of kindness|
23|Don't **discount** his opinion without good reason.|sell|dislike|dismiss|object|C|To "discount" an idea means to ignore it, or "dismiss" it.|To exchange something for money|To feel distaste for something|To decide something is not worth considering|To express disagreement|
24|Sophie **intends** to finish her summer project by the second week of June.|aspires|rehearses|strives|strategizes|A|To "intend" to do something means to plan, or "aspire", to do it.|Plans or hopes to achieve something|Practises something before performing it|Makes great efforts to achieve something|Plans a course of action carefully|
25|Anne was too busy **plotting** against her cousin Dan.|betray|sowing|developing|conspiring|D|"Plotting" means making secret plans, which is the same as "conspiring".|To be disloyal or deceive someone|Planting the beginnings of something|Growing or improving over time|Making secret plans, often with others|
26|It is important to get one's information from **reputable** sources.|trustworthy|popular|well-known|durable|A|"Reputable" means well-trusted, so it matches "trustworthy".|Deserving of trust and confidence|Liked by many people|Familiar to many people|Able to last a long time|
27|Everyone else tried to **extract** themselves from the awkward situation.|excerpt|escape|separate|distant|C|To "extract" yourself from something means to get away, or "separate" from it.|A short passage taken from a text|To get free from a place or situation|To move apart or away from something|Far away in space or time|
28|Daphne was always rather **patronising** towards her younger sister.|jealous|condescending|mocking|unfeeling|B|"Patronising" means acting like you are better than someone else, or being "condescending".|Feeling envious of someone|Acting as though you are superior|Making fun of someone unkindly|Lacking sympathy or emotion|
29|The McKenzies were on **intimate** terms with the Sharmas.|compassionate|withdrawn|tender|familiar|D|"Intimate" means very close and friendly, like being "familiar" with someone.|Feeling sympathy for others' suffering|Reserved, socially distant|Gentle and caring|Closely acquainted, well known|
30|Johnny was **attracted** by the idea of going to Disneyland.|hypnotised|interested|seduced|affected|B|Being "attracted" to an idea means you like it and are "interested" in it.|Put into a trance-like state|Having your curiosity or attention caught|Persuaded to do something, often unwisely|Influenced or changed|
31|The two suspects neither **confirmed** nor denied taking the sweets.|admitted|claimed|reasoned|agreed|A|To "confirm" means to say something is true, so not confirming means they had not "admitted" it.|Accepted or confessed something as true|Stated something as true without proof|Thought through something logically|Had the same opinion as someone|
32|Henry took a step back, **overwhelmed** by the strangeness of the scene.|overflowed|unnerved|drenched|shattered|B|"Overwhelmed" means having very strong feelings, which can make you feel "unnerved".|Spilled over the edges of a container|Made someone lose confidence or courage|Made completely wet|Broken into many pieces|
33|On a school trip to the wilderness, Lola **acquired** many useful survival skills.|obtain|adopted|collected|developed|D|To "acquire" a skill means to learn it, or "develop" it.|To get or acquire something|Took on or accepted something as one's own|Gathered together over time|Gained or built up gradually|
6|When I was younger, I **seldom** went to the theatre.|hardly|recurrently|customarily|frequently|A|"Seldom" means not very often, close to "hardly ever".|Almost never|Happening repeatedly|According to usual practice|Happening often|
7|She remained **composed** throughout the competition.|confident|serious|perturbed|calm|D|"Composed" means staying "calm" and in control of your feelings.|Sure of oneself|Thoughtful or solemn|Anxious or unsettled|Free from nervousness or anxiety|
8|The snowman was **prominent** in the field.|obscured|noticeable|pale|influential|B|"Prominent" means easy to see, or "noticeable".|Hidden or not clearly visible|Easy to see or notice|Light in colour|Having a strong effect on others|
9|He apologised and explained that he did not wish to **intrude**.|demand|disturb|complain|ignore|B|To "intrude" means to interrupt, or "disturb", someone.|To ask for something forcefully|To interrupt or disrupt|To express dissatisfaction|To pay no attention to something|
10|They strongly believed that the decision was extremely **illogical**.|unexpected|practical|senseless|impulsive|C|"Illogical" means not making sense, or "senseless".|Not anticipated|Sensible and useful|Lacking clear reason or meaning|Acting without thinking first|
27|The idea of travelling back in time is **inconceivable**.|preposterous|fascinating|futile|unimaginable|D|"Inconceivable" means impossible to imagine, so it matches "unimaginable".|Absurd or ridiculous|Extremely interesting|Pointless, having no effect|Impossible to imagine|
28|His friends described his financial situation as **precarious**.|stable|dangerous|struggling|affluent|B|"Precarious" means unsafe, or "dangerous".|Firmly fixed, not likely to change|Likely to cause harm|Having difficulty achieving something|Having a great deal of money|
29|They were told that the documents were **confidential**.|critical|unpublished|private|authoritative|C|"Confidential" means secret, or "private".|Of great importance|Not yet made public in print|Meant to be kept secret|Reliable and commanding respect|
30|She thought her siblings spoke to her in a very **juvenile** way.|pretentious|assertive|immature|ignorant|C|"Juvenile" means childish, or "immature", behaviour.|Attempting to seem more important than you are|Confident and direct|Childish, not fully developed|Lacking knowledge or information|
31|In a **dignified** manner, she stood up and continued ice skating.|composed|humiliated|careful|arrogant|A|"Dignified" means behaving calmly and with respect, or "composed".|Calm and in control|Made to feel ashamed|Taking care to avoid mistakes|Having an exaggerated sense of importance|
32|Her **fickle** nature made it challenging to predict what she would do next.|demanding|inconstant|deceptive|private|B|"Fickle" means often changing your mind, or being "inconstant".|Requiring a lot of effort or attention|Often changing, not loyal or steady|Giving a false or misleading impression|Not for public knowledge|
33|The country experienced **tumultuous** times as political unrest swept across the nation.|noisy|volatile|desperate|wild|B|"Tumultuous" means very chaotic and unsettled, or "volatile".|Making a lot of sound|Liable to change suddenly, unstable|Feeling great urgency or despair|Uncontrolled or untamed|
34|The princess gushed over how **valiantly** the knight had fought.|brave|bold|respectfully|courageously|D|"Valiantly" means bravely, or "courageously".|Showing courage (describes a person, not an action)|Confident and courageous (describes a person, not an action)|Showing respect or admiration|In a brave, fearless way|
35|The **prolific** writer published three best-selling novels in the span of just one year.|imaginative|productive|proficient|dedicated|B|"Prolific" means making a lot of something, so it matches "productive".|Having good, original ideas|Producing a large amount of something|Skilled and competent at something|Committed to a task or purpose|
36|The **discerning** art collector carefully examined each and every painting.|intelligent|perceptive|cautious|finest|B|"Discerning" means noticing small details well, or "perceptive".|Having good understanding or reasoning|Quick to notice small details|Careful to avoid risk|Of the highest quality|
26|She was becoming more **eccentric** as she got older.|thoughtful|frightened|unconventional|generous|C|"Eccentric" means unusual or different, or "unconventional".|Showing careful consideration|Feeling fear|Not following usual customs or ways|Willing to give freely|
27|They were **agitated** when their friend did not answer their phone call.|distressed|surprised|horrified|unperturbed|A|"Agitated" means feeling worried or upset, or "distressed".|Feeling anxious or troubled|Feeling astonished by something unexpected|Feeling shock and disgust|Calm, not disturbed or worried|
28|This year, all the staff at the bank were given a **meagre** pay rise.|deserved|advanced|disgraceful|insufficient|D|"Meagre" means too small or not enough, or "insufficient".|Rightfully earned|Developed or ahead in progress|Shockingly unacceptable|Not enough for what is needed|
29|They were unable to **ascertain** the cause of the misfortune.|accept|locate|determine|comprehend|C|To "ascertain" means to find out for sure, or "determine" it.|To agree to receive or believe something|To find the position of something|To find out for certain|To understand something fully|
30|The teacher was **aghast** at how badly the students scored in their latest test.|appalled|furious|bewildered|dissatisfied|A|"Aghast" means shocked or horrified, like being "appalled".|Filled with horror or shock|Extremely angry|Completely confused|Not pleased or content|
16|They held their new toy **aloft**, showing off to their small group of friends.|tentatively|proudly|high|tight|C|"Aloft" means up in the air, or "high" up.|Hesitantly, without confidence|In a way that shows satisfaction or pride|Up in the air|Firmly or closely|
17|My health **deteriorated** rapidly after the injury.|declined|disintegrated|halted|languished|A|"Deteriorated" means getting worse, or "declined".|Became worse or weaker|Broke apart into pieces|Stopped completely|Remained weak without improving|
18|The man's expression remained **dispassionate** when he was told the bad news.|perplexed|furious|impassive|intense|C|"Dispassionate" means showing no strong feelings, or "impassive".|Completely confused|Extremely angry|Showing no emotion|Having strong feelings or force|
19|They were certainly **satiated** by the end of their five-course meal.|overwhelmed|uncomfortable|bloated|satisfied|D|"Satiated" means feeling completely full, or "satisfied".|Having very strong feelings|Not physically at ease|Uncomfortably full or swollen|Having your needs fully met|
20|Clare thought the puppy looked very **endearing** as she sat patiently on her lap.|sleepy|picturesque|charming|composed|C|"Endearing" means sweet and lovable, or "charming".|Feeling drowsy, ready to sleep|Visually attractive, like a picture|Pleasing in a way that inspires affection|Calm and in control|
31|Eating one apple a day is **allegedly** very good for your health.|supposedly|bizarrely|interestingly|traditionally|A|"Allegedly" means people say it is true, or "supposedly" true.|According to what is said, though not proven|In a very strange or unusual way|In a way that attracts interest|According to long-established custom|
32|They have had **sporadic** contact since they met for the first time last year.|increasing|occasional|daily|frequent|B|"Sporadic" means happening now and then, or "occasional".|Growing in amount over time|Happening now and then, not regularly|Happening every day|Happening often|
