Question Num|Question|Option-A|Option-B|Option-C|Option-D|Option-E|Answer|Explanation|
1|Suffixes in sentences (each suffix is used only once in this set of 5)::Audience members described the performance as **terrify**.|ive|ing|y|ous|ly|B|"Terrify" + "-ing" = "terrifying" (causing great fear), which makes sense to describe a performance.|
2|Suffixes in sentences (each suffix is used only once in this set of 5)::The opposition's speech was rude, ill-informed and **slander**.|ive|ing|y|ous|ly|D|"Slander" + "-ous" = "slanderous" (making false and damaging statements), which fits alongside "rude" and "ill-informed".|
3|Suffixes in sentences (each suffix is used only once in this set of 5)::After receiving the good news, he walked all day with a **spright** step.|ive|ing|y|ous|ly|E|"Spright" + "-ly" = "sprightly" (lively and energetic), which makes sense for someone who just received good news.|
4|Suffixes in sentences (each suffix is used only once in this set of 5)::The thirsty plants were grateful for the **rain** weather.|ive|ing|y|ous|ly|C|"Rain" + "-y" = "rainy" (full of rain), which makes sense for thirsty plants to be grateful for.|
5|Suffixes in sentences (each suffix is used only once in this set of 5)::His mannerisms are rather **express**, which makes him very interesting to watch.|ive|ing|y|ous|ly|A|"Express" + "-ive" = "expressive" (showing feeling or meaning clearly), which fits someone who is interesting to watch.|
6|Words that cannot take the suffix **-ing** (it is acceptable to add and/or remove a letter)::Which one of these words CANNOT be combined with the suffix **-ing** to form a real word?|vote|celebrate|empathise|construe|dramatic|E|"Dramatic" is already an adjective and cannot take "-ing" (there is no word "dramaticing"), unlike "voting", "celebrating", "empathising" and "construing", which are all real words.|
7|Words that cannot take the suffix **-ly** (it is acceptable to add and/or remove a letter)::Which one of these words CANNOT be combined with the suffix **-ly** to form a real word?|dry|positive|unhappy|dance|game|D|"Dance" is a verb/noun and cannot take "-ly" (there is no word "dancely"), unlike "dryly", "positively", "unhappily" and "gamely" (meaning bravely), which are all real words.|
8|Words that cannot take the suffix **-ive** (it is acceptable to add and/or remove a letter)::Which one of these words CANNOT be combined with the suffix **-ive** to form a real word?|response|grimace|investigate|retrospect|demonstrate|B|"Grimace" cannot take "-ive" (there is no word "grimacive"), unlike "responsive", "investigative", "retrospective" and "demonstrative", which are all real words.|
9|Words that cannot take the suffix **-ed** (it is acceptable to add and/or remove a letter)::Which one of these words CANNOT be combined with the suffix **-ed** to form a real word?|encapsulate|conversate|grate|relegate|commiserate|B|"Conversate" is not a standard word and cannot correctly take "-ed", unlike "encapsulated", "grated", "relegated" and "commiserated", which are all real words.|
10|Words that cannot take the suffix **-er** (it is acceptable to add and/or remove a letter)::Which one of these words CANNOT be combined with the suffix **-er** to form a real word?|bloom|ignite|create|pray|labour|C|"Create" + "-er" is not correct; the real word is "creator" (with "-or"), not "creater", unlike "bloomer", "igniter", "prayer" and "labourer", which are all real words.|
11|Suffixes in sentences (each suffix is used only once in this set of 5)::Her speech was clear, and her actions very **demonstrate** of her skills.|ive|ing|y|ous|ly|A|"Demonstrate" + "-ive" = "demonstrative" (showing feelings or qualities openly), which fits describing someone's actions.|
12|Suffixes in sentences (each suffix is used only once in this set of 5)::The work was long and **gruel** on a winter's day.|ive|ing|y|ous|ly|B|"Gruel" + "-ing" = "gruelling" (extremely tiring and demanding), which makes sense for long work on a winter's day.|
13|Suffixes in sentences (each suffix is used only once in this set of 5)::The journey was **peril** due to the many holes in the road.|ive|ing|y|ous|ly|D|"Peril" + "-ous" = "perilous" (full of danger), which makes sense for a journey with many holes in the road.|
14|Suffixes in sentences (each suffix is used only once in this set of 5)::She stood up very **ginger**, aware that everyone was watching.|ive|ing|y|ous|ly|E|"Ginger" + "-ly" = "gingerly" (in a careful, cautious manner), which makes sense for someone aware of being watched.|
15|Suffixes in sentences (each suffix is used only once in this set of 5)::We jumped high on the **bounce** trampoline.|ive|ing|y|ous|ly|C|"Bounce" + "-y" = "bouncy" (springy, able to bounce well), which makes sense to describe a trampoline.|
16|Suffixes in sentences (each suffix is used only once in this set of 5)::It is important to **incentive** children to work hard for their exams.|able|ing|ful|ise|ant|D|"Incentive" + "-ise" = "incentivise" (to motivate with an incentive), which makes sense for encouraging children to work hard.|
17|Suffixes in sentences (each suffix is used only once in this set of 5)::Samantha had a **wonder** look on her face as she gazed at the miraculous creature in front of her.|able|ing|ful|ise|ant|C|"Wonder" + "-ful" = "wonderful" (full of wonder or amazement), which fits her reaction to a miraculous creature.|
18|Suffixes in sentences (each suffix is used only once in this set of 5)::Granny Smith was completely **rely** on her nieces to cook her meals.|able|ing|ful|ise|ant|E|"Rely" + "-ant" = "reliant" (dependent on someone or something), which makes sense for relying on her nieces.|
19|Suffixes in sentences (each suffix is used only once in this set of 5)::Vinny is a great employee since she is very **adapt** to any kind of situation.|able|ing|ful|ise|ant|A|"Adapt" + "-able" = "adaptable" (able to adjust to new conditions), which makes sense as a quality of a great employee.|
20|Suffixes in sentences (each suffix is used only once in this set of 5)::How did you come up with such a **fascinate** and ridiculous idea?|able|ing|ful|ise|ant|B|"Fascinate" + "-ing" = "fascinating" (extremely interesting), which pairs naturally with "and ridiculous" to describe an idea.|
21|Suffixes in sentences (each suffix is used only once in this set of 5)::The children looked up at the teacher, their gazes eager and **expect**.|ness|ed|ant|age|ful|C|"Expect" + "-ant" = "expectant" (eagerly anticipating something), which fits describing the children's eager gazes.|
22|Suffixes in sentences (each suffix is used only once in this set of 5)::The soap bubbles **float** gently down to the ground before popping.|ness|ed|ant|age|ful|B|"Float" + "-ed" = "floated" (moved slowly through the air), which makes sense for soap bubbles drifting down before popping.|
23|Suffixes in sentences (each suffix is used only once in this set of 5)::Her **sorrow** expression immediately told us that something was wrong.|ness|ed|ant|age|ful|E|"Sorrow" + "-ful" = "sorrowful" (feeling or expressing deep sadness), which fits an expression that signals something is wrong.|
24|Suffixes in sentences (each suffix is used only once in this set of 5)::The local news channel's **cover** of the incident was not as detailed as it should have been.|ness|ed|ant|age|ful|D|"Cover" + "-age" = "coverage" (the reporting of news or events), which fits describing a news channel's reporting.|
25|Suffixes in sentences (each suffix is used only once in this set of 5)::"Never before have I encountered such **stubborn**," the father declared dramatically, having spent more than an hour trying to persuade his daughter to eat a single piece of lettuce.|ness|ed|ant|age|ful|A|"Stubborn" + "-ness" = "stubbornness" (the quality of being unwilling to change one's mind), which fits the father's frustration after an hour of persuading.|
26|Suffixes in sentences (each suffix is used only once in this set of 7)::The situation was **hope**; there were simply no more trains running until the next day.|ful|able|less|ic|en|C|"Hope" + "-less" = "hopeless" (having no hope or prospect of success), which fits a situation with no more trains running until the next day.|
27|Suffixes in sentences (each suffix is used only once in this set of 7)::Miles made fruit cocktails for the party, but they were far too **acid**.|ic|ness|ity|less|ful|A|"Acid" + "-ic" = "acidic" (having a sharp, sour taste), which fits describing fruit cocktails that were too sour.|
28|Suffixes in sentences (each suffix is used only once in this set of 7)::Julie cast a **meaning** look to Clara, and she understood immediately.|able|ful|en|ity|less|B|"Meaning" + "-ful" = "meaningful" (having significance or implying something without words), which fits a look that Clara understood immediately.|
29|Suffixes in sentences (each suffix is used only once in this set of 7)::The proud queen was known throughout the kingdom for her excessive **van**.|ic|ity|en|ness|less|B|"Van" + "-ity" = "vanity" (excessive pride in one's appearance or achievements), which fits a proud queen known for excess.|
30|Suffixes in sentences (each suffix is used only once in this set of 7)::"Let there be no **bitter** between us," Tadeusz said graciously, offering his hand.|ness|able|ic|en|ful|A|"Bitter" + "-ness" = "bitterness" (a feeling of anger or resentment), which fits Tadeusz graciously offering peace.|
31|Suffixes in sentences (each suffix is used only once in this set of 7)::My mother is very **knowledge**; she can speak five languages fluently!|en|ful|less|able|ity|D|"Knowledge" + "-able" = "knowledgeable" (having a lot of knowledge or information), which fits someone who can speak five languages fluently.|
32|Suffixes in sentences (each suffix is used only once in this set of 7)::"These elegant curtains will certainly **bright** the room," the sales assistant declared.|en|ness|ful|ity|able|A|"Bright" + "-en" = "brighten" (to make lighter or more cheerful), which fits curtains improving a room.|
