Question Num|Question|Option-A|Option-B|Option-C|Option-D|Option-E|Option-F|Answer|Explanation|
1|Antonym prefixes (each prefix is used only once in this set of 6)::Choose the correct prefix to add to **describable** so that it becomes an antonym of the original word.|ir|in|de|un|dis|anti|B|"In-" + describable = "indescribable" (too extreme or extraordinary to be described), the antonym of "describable".|
2|Antonym prefixes (each prefix is used only once in this set of 6)::Choose the correct prefix to add to **responsible** so that it becomes an antonym of the original word.|ir|in|de|un|dis|anti|A|"Ir-" + responsible = "irresponsible" (not showing a proper sense of responsibility), the antonym of "responsible".|
3|Antonym prefixes (each prefix is used only once in this set of 6)::Choose the correct prefix to add to **recognisable** so that it becomes an antonym of the original word.|ir|in|de|un|dis|anti|D|"Un-" + recognisable = "unrecognisable" (not able to be recognised), the antonym of "recognisable".|
4|Antonym prefixes (each prefix is used only once in this set of 6)::Choose the correct prefix to add to **associated** so that it becomes an antonym of the original word.|ir|in|de|un|dis|anti|E|"Dis-" + associated = "disassociated" (no longer connected or linked), the antonym of "associated".|
5|Antonym prefixes (each prefix is used only once in this set of 6)::Choose the correct prefix to add to **climactic** so that it becomes an antonym of the original word.|ir|in|de|un|dis|anti|F|"Anti-" + climactic = "anticlimactic" (disappointing after being built up to a exciting climax), the antonym of "climactic".|
6|Antonym prefixes (each prefix is used only once in this set of 6)::Choose the correct prefix to add to **escalation** so that it becomes an antonym of the original word.|ir|in|de|un|dis|anti|C|"De-" + escalation = "de-escalation" (a reduction in intensity), the antonym of "escalation".|
7|Prefixes in sentences (each prefix is used only once in this set of 6)::I ate my food so quickly that I had **digestion**.|ir|in|de|un|dis|re|B|"In-" + digestion = "indigestion" (discomfort caused by difficulty digesting food), which makes sense after eating too quickly.|
8|Prefixes in sentences (each prefix is used only once in this set of 6)::I stared at him in **belief** as he kept telling lies.|ir|in|de|un|dis|re|E|"Dis-" + belief = "disbelief" (an inability to believe something), which makes sense when someone is caught lying.|
9|Prefixes in sentences (each prefix is used only once in this set of 6)::Everyone cheats in this game; all my opponents are **trustworthy**.|ir|in|de|un|dis|re|D|"Un-" + trustworthy = "untrustworthy" (not able to be trusted), which makes sense since everyone in the sentence cheats.|
10|Prefixes in sentences (each prefix is used only once in this set of 6)::After a long day at work, I like to **stress** by having a hot bath.|ir|in|de|un|dis|re|C|"De-" + stress = "destress" (to relax and reduce stress), which makes sense as something you'd do after a hot bath.|
11|Prefixes in sentences (each prefix is used only once in this set of 6)::My grandmother's teapot is **replaceable**; it is unique and special.|ir|in|de|un|dis|re|A|"Ir-" + replaceable = "irreplaceable" (impossible to replace), which makes sense for something unique and special.|
12|Prefixes in sentences (each prefix is used only once in this set of 6)::She missed the play, so I had to **enact** my favourite part for her.|ir|in|de|un|dis|re|F|"Re-" + enact = "re-enact" (to act out again), which makes sense as a way to show someone a part of a play they missed.|
13|Antonym prefixes (each prefix is used only once in this set of 6)::Choose the correct prefix to add to **obtainable** so that it becomes an antonym of the original word.|ir|in|de|un|dis|a|D|"Un-" + obtainable = "unobtainable" (not able to be obtained), the antonym of "obtainable".|
14|Antonym prefixes (each prefix is used only once in this set of 6)::Choose the correct prefix to add to **proportionate** so that it becomes an antonym of the original word.|ir|in|de|un|dis|a|E|"Dis-" + proportionate = "disproportionate" (too large or small in comparison to something else), the antonym of "proportionate".|
15|Antonym prefixes (each prefix is used only once in this set of 6)::Choose the correct prefix to add to **explicable** so that it becomes an antonym of the original word.|ir|in|de|un|dis|a|B|"In-" + explicable = "inexplicable" (unable to be explained), the antonym of "explicable".|
16|Antonym prefixes (each prefix is used only once in this set of 6)::Choose the correct prefix to add to **responsible** so that it becomes an antonym of the original word.|ir|in|de|un|dis|a|A|"Ir-" + responsible = "irresponsible" (not showing a proper sense of responsibility), the antonym of "responsible".|
17|Antonym prefixes (each prefix is used only once in this set of 6)::Choose the correct prefix to add to **valued** so that it becomes an antonym of the original word.|ir|in|de|un|dis|a|C|"De-" + valued = "devalued" (reduced in value or worth), the antonym of "valued".|
18|Antonym prefixes (each prefix is used only once in this set of 6)::Choose the correct prefix to add to **moral** so that it becomes an antonym of the original word.|ir|in|de|un|dis|a|F|"A-" + moral = "amoral" (having no moral sense at all), the antonym of "moral".|
19|Prefixes in sentences (each prefix is used only once in this set of 6)::"Bailey, you must not get into any **chief** while I'm away," said Mona to her son before leaving for work.|be|un|re|mis|in|dis|D|"Mis-" + chief = "mischief" (playful or minor troublemaking), which makes sense as a warning from a parent to a child.|
20|Prefixes in sentences (each prefix is used only once in this set of 6)::Shona and Marc encouraged their twins to **friend** the other children in the neighbourhood.|be|un|re|mis|in|dis|A|"Be-" + friend = "befriend" (to become a friend to someone), which makes sense as something parents would encourage.|
21|Prefixes in sentences (each prefix is used only once in this set of 6)::Jack was **famous** for his controversial opinions.|be|un|re|mis|in|dis|E|"In-" + famous = "infamous" (well known for something bad), which makes sense when paired with "controversial opinions".|
22|Prefixes in sentences (each prefix is used only once in this set of 6)::Larry was told that having two chocolates a day was very **healthy**.|be|un|re|mis|in|dis|B|"Un-" + healthy = "unhealthy" (bad for one's health), which makes sense as advice about eating too many chocolates.|
23|Prefixes in sentences (each prefix is used only once in this set of 6)::I think you should **consider** going to university in the USA.|be|un|re|mis|in|dis|C|"Re-" + consider = "reconsider" (to think again about a decision), which makes sense as a piece of advice.|
24|Prefixes in sentences (each prefix is used only once in this set of 6)::The reviewer said the film's plot was very **jointed**, making it hard to follow.|be|un|re|mis|in|dis|F|"Dis-" + jointed = "disjointed" (disconnected or lacking a smooth logical order), which makes sense for a confusing plot.|
25|Antonym prefixes (each prefix is used only once; not every prefix is needed in this set of 6)::Choose the correct prefix to add to **probable** so that it becomes an antonym of the original word.|counter|non|im|dis|de|in|C|"Im-" + probable = "improbable" (unlikely to be true or to happen), the antonym of "probable".|
26|Antonym prefixes (each prefix is used only once; not every prefix is needed in this set of 6)::Choose the correct prefix to add to **consolable** so that it becomes an antonym of the original word.|counter|non|im|dis|de|in|F|"In-" + consolable = "inconsolable" (unable to be comforted), the antonym of "consolable".|
27|Antonym prefixes (each prefix is used only once; not every prefix is needed in this set of 6)::Choose the correct prefix to add to **existence** so that it becomes an antonym of the original word.|counter|non|im|dis|de|in|B|"Non-" + existence = "nonexistence" (the state of not existing), the antonym of "existence".|
28|Antonym prefixes (each prefix is used only once; not every prefix is needed in this set of 6)::Choose the correct prefix to add to **productive** so that it becomes an antonym of the original word.|counter|non|im|dis|de|in|A|"Counter-" + productive = "counterproductive" (having the opposite of the intended effect), the antonym of "productive".|
29|Antonym prefixes (each prefix is used only once; not every prefix is needed in this set of 6)::Choose the correct prefix to add to **constructed** so that it becomes an antonym of the original word.|counter|non|im|dis|de|in|E|"De-" + constructed = "deconstructed" (broken down into its separate parts), the antonym of "constructed".|
